net,code,time,latitude,longitude,mag,depth,nst,region,distance,direction
ak,10827051,"Sunday, October 20, 2013 00:28:11 UTC",63.5579,-150.7939,1.7,0,,"Cantwell, Alaska",93km,WNW
ak,10827043,"Sunday, October 20, 2013 00:23:07 UTC",63.3268,-149.4243,3.5,93.2,,"Cantwell, Alaska",24km,WSW
nn,00426788,"Sunday, October 20, 2013 00:11:25 UTC",38.3145,-119.5018,1.27,17.24,5,"Bridgeport, California",24km,WNW
ak,10827035,"Saturday, October 19, 2013 23:58:33 UTC",63.5517,-150.7706,2.5,5,,"Cantwell, Alaska",92km,WNW
us,b000khfy,"Saturday, October 19, 2013 23:32:32 UTC",26.3305,-110.303,4.1,10.05,,"Etchoropo, Mexico",79km,SW
nn,00426787,"Saturday, October 19, 2013 23:30:29 UTC",40.8975,-118.6505,2.4,8.84,17,"Gerlach-Empire, Nevada",70km,ENE
ak,10827027,"Saturday, October 19, 2013 23:19:24 UTC",62.4876,-151.5861,2,91.2,,"Talkeetna, Alaska",78km,WNW
ci,11380970,"Saturday, October 19, 2013 23:00:22 UTC",34.2318,-117.5148,1.1,8.6,18,"Rancho Cucamonga, California",15km,NNE
us,b000khfp,"Saturday, October 19, 2013 22:49:57 UTC",-6.591,154.8243,5.2,48.73,,"Panguna, Papua New Guinea",79km,WSW
nc,72091001,"Saturday, October 19, 2013 22:23:00 UTC",38.841,-122.8262,0.5,2.2,,"Cobb, California",9km,WNW
us,b000khf8,"Saturday, October 19, 2013 22:14:28 UTC",25.0957,-110.7486,4.6,10,,"Ciudad Constitucion, Mexico",92km,E
ci,11380962,"Saturday, October 19, 2013 22:13:50 UTC",35.0973,-117.1453,1.4,7.8,27,"Barstow, California",24km,NNW
ci,11380954,"Saturday, October 19, 2013 21:55:20 UTC",35.0978,-117.1468,1.8,7.5,34,"Barstow, California",24km,NNW
us,b000khf4,"Saturday, October 19, 2013 21:43:34 UTC",10.0048,124.3151,4.9,58.49,,"Hinlayagan Ilaud, Philippines",3km,SW
ak,10827016,"Saturday, October 19, 2013 21:38:28 UTC",62.807,-149.8005,1.8,49.3,,"Talkeetna, Alaska",56km,NNE
ak,10827009,"Saturday, October 19, 2013 21:35:47 UTC",61.5215,-146.5167,2.3,29.1,,"Valdez, Alaska",44km,NNW
pr,13292006,"Saturday, October 19, 2013 21:32:12 UTC",18.1506,-68.1155,3.2,102,13,"Punta Cana, Dominican Republic",56km,SSE
nc,72090991,"Saturday, October 19, 2013 21:31:03 UTC",36.6077,-121.0975,1.6,5.7,,"Soledad, California",28km,NE
us,b000khf0,"Saturday, October 19, 2013 21:29:42 UTC",9.9959,124.1788,4.9,53.26,,"Danao, Philippines",7km,NW
us,b000khf3,"Saturday, October 19, 2013 21:11:53 UTC",9.5626,123.7041,4.7,63.74,,"Duljo, Philippines",3km,SW
ci,11380938,"Saturday, October 19, 2013 21:06:19 UTC",35.9468,-117.6545,1.1,2.6,9,"Searles Valley, California",30km,NW
ak,10827000,"Saturday, October 19, 2013 21:04:33 UTC",62.4046,-148.3567,1.9,26.7,,"Sutton-Alpine, Alaska",72km,NNE
nc,72090976,"Saturday, October 19, 2013 20:49:03 UTC",40.7387,-124.883,2.6,0.3,,"Ferndale, California",55km,WNW
pr,13292005,"Saturday, October 19, 2013 20:47:43 UTC",19.1298,-66.5101,2.6,11,4,"Tierras Nuevas Poniente, Puerto Rico",73km,N
nc,72090971,"Saturday, October 19, 2013 20:46:43 UTC",38.7858,-122.7645,0.6,1.9,,"The Geysers, California",1km,NW
us,b000khea,"Saturday, October 19, 2013 20:40:42 UTC",10.0934,124.2114,4.9,20.1,,"Bagacay, Philippines",8km,SW
ci,11380922,"Saturday, October 19, 2013 20:39:56 UTC",34.4393,-119.0537,1.5,1.3,13,"Santa Paula, California",9km,N
nc,72090956,"Saturday, October 19, 2013 20:25:59 UTC",38.8157,-122.794,0.6,2.8,,"The Geysers, California",5km,NW
nc,72090951,"Saturday, October 19, 2013 20:17:19 UTC",39.4002,-123.2715,3.4,4.7,,"Willits, California",7km,E
ak,10826987,"Saturday, October 19, 2013 20:13:18 UTC",59.9481,-154.2465,2.5,100,,"Old Iliamna, Alaska",43km,ENE
nc,72090946,"Saturday, October 19, 2013 20:08:44 UTC",38.8232,-122.8063,1.8,1,,"The Geysers, California",6km,NW
ci,11380906,"Saturday, October 19, 2013 20:06:04 UTC",32.8742,-116.2447,1.6,4.4,24,"Pine Valley, California",27km,ENE
us,b000khdp,"Saturday, October 19, 2013 19:56:42 UTC",37.7383,142.4885,4.3,44.28,,"Ishinomaki, Japan",128km,SE
nc,72090931,"Saturday, October 19, 2013 19:33:13 UTC",38.8425,-122.8248,0.4,2.2,,"Cobb, California",9km,WNW
nc,72090926,"Saturday, October 19, 2013 19:21:36 UTC",38.8082,-122.8147,1.1,2.6,,"The Geysers, California",6km,NW
nc,72090921,"Saturday, October 19, 2013 18:31:30 UTC",38.7863,-122.7638,1.2,2,,"The Geysers, California",1km,NNW
hv,60579366,"Saturday, October 19, 2013 18:14:58 UTC",19.3365,-155.1237,0.7,4,,"Volcano, Hawaii",15km,SE
nc,72090901,"Saturday, October 19, 2013 18:05:07 UTC",38.7898,-122.7387,1.8,2.8,,"The Geysers, California",2km,NE
nc,72090891,"Saturday, October 19, 2013 17:57:25 UTC",35.9798,-120.5462,0.4,1.7,,"Coalinga, California",24km,SW
us,b000khbc,"Saturday, October 19, 2013 17:54:56 UTC",26.2676,-110.1778,6.5,7.98,,"Etchoropo, Mexico",75km,SW
us,b000khb4,"Saturday, October 19, 2013 17:47:42 UTC",36.3169,71.1074,4.4,112.97,,"`Alaqahdari-ye Kiran wa Munjan, Afghanistan",43km,NE
us,b000khaq,"Saturday, October 19, 2013 17:33:03 UTC",-6.1459,-107.1144,4.5,15.39,,Central East Pacific Rise,NA,NA
nc,72090876,"Saturday, October 19, 2013 17:25:28 UTC",37.0207,-121.4707,1.3,8.9,,"Gilroy, California",8km,E
us,b000khak,"Saturday, October 19, 2013 17:11:36 UTC",-33.3517,-179.1762,4.7,1,,"L'Esperance Rock, New Zealand",214km,S
ci,11380866,"Saturday, October 19, 2013 17:07:50 UTC",33.0338,-116.4072,1.3,10.1,21,"Julian, California",18km,ESE
uw,60614032,"Saturday, October 19, 2013 16:27:57 UTC",47.7195,-121.9232,0.9,5,,"Lake Marcel-Stillwater, Washington",3km,NNW
ak,10826962,"Saturday, October 19, 2013 16:21:40 UTC",60.2912,-150.765,2.7,26.3,,"Sterling, Alaska",27km,S
nc,72090851,"Saturday, October 19, 2013 16:12:49 UTC",38.814,-122.8253,1.4,3,,"The Geysers, California",7km,NW
ci,11380834,"Saturday, October 19, 2013 15:45:00 UTC",33.9107,-116.7483,1.5,17.2,35,"Cabazon, California",3km,ESE
ak,10826955,"Saturday, October 19, 2013 15:42:27 UTC",60.2331,-152.2453,2.3,61.3,,"Redoubt Volcano, Alaska",39km,SE
ak,10826954,"Saturday, October 19, 2013 15:40:23 UTC",60.5682,-141.6914,1,26.6,,"Cape Yakataga, Alaska",69km,NE
hv,60579336,"Saturday, October 19, 2013 15:33:38 UTC",19.495,-155.4492,2,4.7,,"Volcano, Hawaii",23km,WNW
ci,11380810,"Saturday, October 19, 2013 15:21:46 UTC",33.2258,-115.6825,2.1,4.7,13,"Niland, California",15km,W
us,b000kh94,"Saturday, October 19, 2013 15:14:25 UTC",38.2611,141.6375,4.9,62.4,,"Ishinomaki, Japan",34km,ESE
nc,72090846,"Saturday, October 19, 2013 15:12:28 UTC",37.0972,-119.4685,2.2,17.2,,"Auberry, California",2km,NE
nc,72090841,"Saturday, October 19, 2013 15:10:59 UTC",36.8492,-120.247,1.8,18,,"Mendota, California",16km,NE
nc,72090821,"Saturday, October 19, 2013 15:08:54 UTC",37.6085,-121.6948,1.5,4.2,,"Livermore, California",10km,SE
ci,11380794,"Saturday, October 19, 2013 15:07:51 UTC",33.5777,-116.718,1.3,14.6,18,"Anza, California",4km,WNW
nc,72090811,"Saturday, October 19, 2013 14:55:31 UTC",37.651,-119.3393,1.7,29.3,,"Yosemite Valley, California",23km,ESE
nc,72090791,"Saturday, October 19, 2013 14:32:06 UTC",40.3248,-122.0923,1.8,12,,"Cottonwood, California",17km,ESE
nc,72090776,"Saturday, October 19, 2013 14:09:20 UTC",36.6418,-121.2665,1.2,5.9,,"Ridgemark, California",20km,SSE
ci,11380778,"Saturday, October 19, 2013 14:02:44 UTC",33.6772,-116.7307,1.1,17.1,20,"Idyllwild-Pine Cove, California",7km,S
ci,11380770,"Saturday, October 19, 2013 13:44:07 UTC",33.452,-116.8498,1.1,9.9,12,"Aguanga, California",1km,NE
us,b000kh8x,"Saturday, October 19, 2013 13:43:45 UTC",-56.1898,-26.6636,5,55.41,,"Visokoi Island, ",65km,NNE
ak,10826924,"Saturday, October 19, 2013 13:29:22 UTC",62.3868,-142.5061,3.2,35,,"Tok, Alaska",108km,SSE
ci,11380762,"Saturday, October 19, 2013 13:13:22 UTC",33.5797,-116.7173,1.4,14.3,17,"Anza, California",4km,NW
pr,13292004,"Saturday, October 19, 2013 13:02:20 UTC",19.2665,-67.569,2.9,43,10,"San Antonio, Puerto Rico",99km,NNW
nc,72090766,"Saturday, October 19, 2013 12:56:34 UTC",36.3027,-120.7813,1.8,11.6,,"King City, California",32km,ENE
nn,00426766,"Saturday, October 19, 2013 12:47:23 UTC",37.088,-117.4508,0.79,7,10,"Beatty, Nevada",64km,WNW
ci,11380754,"Saturday, October 19, 2013 12:21:45 UTC",33.1802,-115.6293,1,3.7,10,"Calipatria, California",12km,WNW
ak,10826916,"Saturday, October 19, 2013 12:04:45 UTC",60.0857,-150.6646,2.1,35.1,,"Cohoe, Alaska",47km,SE
nc,72090756,"Saturday, October 19, 2013 11:39:01 UTC",38.789,-122.7627,1.1,2.4,,"The Geysers, California",1km,NNW
us,b000kh7w,"Saturday, October 19, 2013 11:37:14 UTC",-7.8853,154.5094,5.2,10,,"Panguna, Papua New Guinea",204km,SSW
ci,11380738,"Saturday, October 19, 2013 11:23:32 UTC",33.1862,-115.6418,1,5.1,8,"Niland, California",12km,WSW
ci,11380730,"Saturday, October 19, 2013 11:21:28 UTC",36.0988,-117.8938,1.8,6.6,9,"Inyokern, California",50km,N
pr,13292003,"Saturday, October 19, 2013 11:02:48 UTC",19.0296,-65.1809,3.3,125,3,"Charlotte Amalie, U.S. Virgin Islands",80km,NNW
us,b000kh7k,"Saturday, October 19, 2013 10:47:59 UTC",-17.6501,-172.8381,4.5,19.64,,"Neiafu, Tonga",164km,NE
ci,11380714,"Saturday, October 19, 2013 10:37:43 UTC",33.5792,-116.7182,1,14.9,18,"Anza, California",4km,WNW
ci,11380706,"Saturday, October 19, 2013 10:30:45 UTC",33.3068,-116.3847,1,9.5,18,"Borrego Springs, California",5km,N
nn,00426763,"Saturday, October 19, 2013 10:30:09 UTC",39.5888,-119.52,1.78,13.1911,24,"Spanish Springs, Nevada",17km,ESE
nc,72090731,"Saturday, October 19, 2013 10:23:52 UTC",38.8067,-122.75,0.9,1.4,,"Cobb, California",2km,SW
us,b000kh7b,"Saturday, October 19, 2013 10:14:01 UTC",51.4485,-175.0226,4.5,28.24,,"Atka, Alaska",100km,SW
ci,11380690,"Saturday, October 19, 2013 10:09:03 UTC",33.1672,-115.6053,1.2,6.3,8,"Calipatria, California",9km,WNW
ak,10826898,"Saturday, October 19, 2013 10:05:21 UTC",62.7421,-150.7351,1.7,92.7,,"Talkeetna, Alaska",56km,NW
ci,11380634,"Saturday, October 19, 2013 09:30:58 UTC",33.5778,-116.7232,1.7,15.1,49,"Anza, California",5km,WNW
nc,72090706,"Saturday, October 19, 2013 09:20:32 UTC",38.817,-122.8168,1.2,2.7,,"The Geysers, California",6km,NW
ci,11380618,"Saturday, October 19, 2013 08:59:38 UTC",32.8728,-116.2523,1.4,4.5,33,"Pine Valley, California",26km,ENE
nc,72090701,"Saturday, October 19, 2013 08:51:08 UTC",38.8257,-122.8013,1,0,,"Cobb, California",6km,W
se,101913a,"Saturday, October 19, 2013 08:41:57 UTC",37.7476,-80.6433,2.2,8.2,8,"Alderson, West Virginia",2km,N
nc,72090696,"Saturday, October 19, 2013 08:27:29 UTC",36.6005,-121.2147,1.7,8.7,,"Soledad, California",21km,NNE
us,b000kh6e,"Saturday, October 19, 2013 08:13:54 UTC",21.8054,121.3122,4.6,59.75,,"Hengchun, Taiwan",62km,ESE
us,b000kh6c,"Saturday, October 19, 2013 08:11:29 UTC",42.9727,-111.0575,3.3,5.11,,"Afton, Wyoming",29km,NNW
us,b000kh6d,"Saturday, October 19, 2013 08:04:11 UTC",42.9587,-111.0183,2.7,4.01,,"Afton, Wyoming",26km,NNW
pr,13292002,"Saturday, October 19, 2013 08:00:57 UTC",18.2061,-67.5085,2.3,25,5,"Stella, Puerto Rico",30km,WSW
nc,72090681,"Saturday, October 19, 2013 07:33:49 UTC",36.8235,-121.3753,2.1,7.7,,"Ridgemark, California",1km,NW
nc,72090676,"Saturday, October 19, 2013 07:29:08 UTC",38.8103,-122.7883,0.5,3,,"The Geysers, California",4km,NW
ak,10826883,"Saturday, October 19, 2013 06:49:36 UTC",61.3508,-150.4151,1.7,29.7,,"Anchorage, Alaska",31km,WNW
nn,00426762,"Saturday, October 19, 2013 06:46:50 UTC",39.6659,-119.6936,1.22,9.5118,26,"Spanish Springs, Nevada",2km,NNE
nn,00426775,"Saturday, October 19, 2013 06:45:28 UTC",39.663,-119.6913,0.51,10.3915,11,"Spanish Springs, Nevada",2km,NE
ci,11380578,"Saturday, October 19, 2013 06:37:21 UTC",33.3525,-116.2428,1.1,10.7,20,"Borrego Springs, California",16km,NE
ak,10826875,"Saturday, October 19, 2013 06:20:11 UTC",60.3459,-152.084,1.7,68.8,,"Redoubt Volcano, Alaska",39km,ESE
ci,11380562,"Saturday, October 19, 2013 06:18:09 UTC",34.9013,-119.0455,1.3,22.6,13,"Pine Mountain Club, California",11km,ENE
